language,year,coldwar,utopia,eden,amen,sandwich,whiskey,disco,jazz
Chinese,1961,8.44E-06,3.57E-07,0,1.96E-08,0,0,8.39E-09,0
Chinese,1962,7.21E-06,3.83E-07,0,1.96E-08,0,0,8.39E-09,5.19E-08
Chinese,1963,6.05E-06,3.03E-07,0,1.96E-08,0,0,8.39E-09,5.19E-08
Chinese,1964,4.53E-06,2.44E-07,0,1.96E-08,0,0,0,5.19E-08
Chinese,1965,2.87E-06,4.01E-07,0,1.96E-08,0,0,0,5.19E-08
Chinese,1966,1.56E-06,4.01E-07,0,1.96E-08,1.92E-07,0,0,5.19E-08
Chinese,1967,1.14E-06,2.96E-07,0,1.96E-08,1.92E-07,0,0,1.86E-06
Chinese,1968,5.21E-07,2.35E-07,0,0,1.92E-07,0,0,1.86E-06
Chinese,1969,7.89E-07,2.09E-07,0,0,1.92E-07,0,0,1.80E-06
Chinese,1970,5.61E-07,5.90E-07,1.11E-08,2.14E-08,1.92E-07,0,0,1.80E-06
Chinese,1971,6.41E-07,1.09E-06,2.90E-08,3.87E-08,1.92E-07,0,0,1.80E-06
Chinese,1972,7.34E-07,1.38E-06,4.24E-08,6.45E-08,1.92E-07,1.34E-08,0,1.96E-06
Chinese,1973,7.88E-07,1.62E-06,8.56E-08,6.45E-08,0,1.34E-08,0,1.99E-06
Chinese,1974,9.47E-07,1.78E-06,1.00E-07,6.45E-08,0,1.34E-08,0,1.97E-07
Chinese,1975,9.41E-07,1.80E-06,1.00E-07,6.45E-08,0,1.34E-08,0,1.97E-07
Chinese,1976,6.97E-07,2.12E-06,1.00E-07,6.45E-08,0,1.34E-08,0,1.97E-07
Chinese,1977,7.43E-07,2.19E-06,1.04E-07,4.72E-08,1.08E-08,1.34E-08,0,2.03E-07
Chinese,1978,6.71E-07,2.56E-06,1.18E-07,2.99E-08,2.72E-08,1.34E-08,1.64E-08,2.31E-07
Chinese,1979,7.59E-07,2.55E-06,1.29E-07,1.10E-08,3.43E-08,4.74E-09,3.85E-08,1.94E-07
Chinese,1980,8.49E-07,2.88E-06,1.11E-07,1.85E-08,3.69E-08,7.97E-09,7.86E-08,2.10E-07
Chinese,1981,8.39E-07,3.30E-06,1.10E-07,2.54E-08,4.89E-08,1.13E-08,1.26E-07,2.28E-07
Chinese,1982,1.01E-06,3.93E-06,1.45E-07,3.23E-08,6.18E-08,1.80E-08,1.96E-07,3.48E-07
